position_name,position_url,position_10%_salary,position_90%_salary,category_name,category_url,category_10%_salary,category_90%_salary
Administrative Worker,https://www.manoalga.lt/en/salaryinfo/administration/administrative-worker,848.0,1997.0,Administration,https://www.manoalga.lt/en/salaryinfo/administration,884.0,2120.0
"Archivist, Registry Administrator",https://www.manoalga.lt/en/salaryinfo/administration/archivist-registry-administrator,805.0,1833.0,Administration,https://www.manoalga.lt/en/salaryinfo/administration,884.0,2120.0
Assistant,https://www.manoalga.lt/en/salaryinfo/administration/assistant,869.0,1846.0,Administration,https://www.manoalga.lt/en/salaryinfo/administration,884.0,2120.0
CSR specialist,https://www.manoalga.lt/en/salaryinfo/administration/csr-specialist,570.0,4625.0,Administration,https://www.manoalga.lt/en/salaryinfo/administration,884.0,2120.0
Call Operator,https://www.manoalga.lt/en/salaryinfo/administration/call-operator,733.0,1804.0,Administration,https://www.manoalga.lt/en/salaryinfo/administration,884.0,2120.0
Chief Receptionist Officer,https://www.manoalga.lt/en/salaryinfo/administration/chief-receptionist-officer,885.0,2050.0,Administration,https://www.manoalga.lt/en/salaryinfo/administration,884.0,2120.0
Contract administrator,https://www.manoalga.lt/en/salaryinfo/administration/contract-administrator,,,Administration,https://www.manoalga.lt/en/salaryinfo/administration,884.0,2120.0
Data entry operator,https://www.manoalga.lt/en/salaryinfo/administration/data-entry-operator,912.0,2147.0,Administration,https://www.manoalga.lt/en/salaryinfo/administration,884.0,2120.0
"Diversity, Equity and Inclusion Manager",https://www.manoalga.lt/en/salaryinfo/administration/diversity-equity-and-inclusion-manager,1328.0,3036.0,Administration,https://www.manoalga.lt/en/salaryinfo/administration,884.0,2120.0
Office Manager,https://www.manoalga.lt/en/salaryinfo/administration/office-manager,1126.0,2876.0,Administration,https://www.manoalga.lt/en/salaryinfo/administration,884.0,2120.0
Project Coordinator,https://www.manoalga.lt/en/salaryinfo/administration/project-coordinator,1043.0,2685.0,Administration,https://www.manoalga.lt/en/salaryinfo/administration,884.0,2120.0
Receptionist,https://www.manoalga.lt/en/salaryinfo/administration/receptionist,701.0,1855.0,Administration,https://www.manoalga.lt/en/salaryinfo/administration,884.0,2120.0
Receptionist I,https://www.manoalga.lt/en/salaryinfo/administration/receptionist-i,860.0,1692.0,Administration,https://www.manoalga.lt/en/salaryinfo/administration,884.0,2120.0
Secretary,https://www.manoalga.lt/en/salaryinfo/administration/secretary,829.0,1685.0,Administration,https://www.manoalga.lt/en/salaryinfo/administration,884.0,2120.0
